question_type,category_slug,difficulty,question_en,question_ar,option_a,option_b,option_c,option_d,correct_answer,explanation_en,explanation_ar,image_slug,hint,brand_category
guess_stadium,guess-stadium,easy,Which stadium hosts the Champions League final most often?,Ø£ÙŠ Ù…Ù„Ø¹Ø¨ Ø§Ø³ØªØ¶Ø§Ù Ù†Ù‡Ø§Ø¦ÙŠ Ø¯ÙˆØ±ÙŠ Ø§Ù„Ø£Ø¨Ø·Ø§Ù„ Ø£ÙƒØ«Ø± Ù…Ù† ØºÙŠØ±Ù‡ØŸ,Wembley,Santiago Bernabeu,San Siro,Stade de France,Wembley,"Wembley Stadium has hosted the Champions League final 7 times (most recently 2024).",Ù…Ù„Ø¹Ø¨ ÙˆÙŠÙ…Ø¨Ù„ÙŠ Ø§Ø³ØªØ¶Ø§Ù Ù†Ù‡Ø§Ø¦ÙŠ Ø¯ÙˆØ±ÙŠ Ø§Ù„Ø£Ø¨Ø·Ø§Ù„ 7 Ù…Ø±Ø§Øª (Ø¢Ø®Ø±Ù‡Ø§ 2024).,wembley,"Famous arch-shaped roof in London",
guess_stadium,guess-stadium,hard,Which stadium has a distinctive bowl shape and blue track?,Ø£ÙŠ Ù…Ù„Ø¹Ø¨ Ù„Ù‡ Ø´ÙƒÙ„ ÙˆØ¹Ø§Ø¡ Ù…Ù…ÙŠØ² ÙˆÙ…Ø¶Ù…Ø§Ø± Ø£Ø²Ø±Ù‚ØŸ,Estadio Azteca,MaracanÃ£,Nou Camp,Lusail,Estadio Azteca,"Estadio Azteca in Mexico City hosted two World Cup finals (1970, 1986).",Ù…Ù„Ø¹Ø¨ Ø£Ø²ØªÙŠÙƒØ§ ÙÙŠ Ù…ÙƒØ³ÙŠÙƒÙˆ Ø³ÙŠØªÙŠ Ø§Ø³ØªØ¶Ø§Ù Ù†Ù‡Ø§Ø¦ÙŠÙŠ ÙƒØ£Ø³ Ø§Ù„Ø¹Ø§Ù„Ù… (1970ØŒ 1986).,azteca,"Iconic Mexican stadium with a blue track",
guess_flag,guess-flag,easy,Which country has a green and yellow flag?,Ø£ÙŠ Ø¯ÙˆÙ„Ø© Ù„Ù‡Ø§ Ø¹Ù„Ù… Ø£Ø®Ø¶Ø± ÙˆØ£ØµÙØ±ØŸ,Portugal,Brazil,Germany,Italy,Brazil,"Brazil's flag is green with a yellow diamond and blue circle.",Ø¹Ù„Ù… Ø§Ù„Ø¨Ø±Ø§Ø²ÙŠÙ„ Ø£Ø®Ø¶Ø± Ù…Ø¹ Ù…Ø¹ÙŠÙ† Ø£ØµÙØ± ÙˆØ¯Ø§Ø¦Ø±Ø© Ø²Ø±Ù‚Ø§Ø¡.,brazil,South American country known for samba and football,
guess_flag,guess-flag,medium,Which country has a red flag with a white cross?,Ø£ÙŠ Ø¯ÙˆÙ„Ø© Ù„Ù‡Ø§ Ø¹Ù„Ù… Ø£Ø­Ù…Ø± Ù…Ø¹ ØµÙ„ÙŠØ¨ Ø£Ø¨ÙŠØ¶ØŸ,France,England,Switzerland,Denmark,Switzerland,"Switzerland's flag is square-shaped with a white cross on a red background.",Ø¹Ù„Ù… Ø³ÙˆÙŠØ³Ø±Ø§ Ù…Ø±Ø¨Ø¹ Ø§Ù„Ø´ÙƒÙ„ Ø¨ØµÙ„ÙŠØ¨ Ø£Ø¨ÙŠØ¶ Ø¹Ù„Ù‰ Ø®Ù„ÙÙŠØ© Ø­Ù…Ø±Ø§Ø¡.,switzerland,Landlocked European country known for chocolate,
guess_flag,guess-flag,easy,Which country has a flag with a single star on a red background?,Ø£ÙŠ Ø¯ÙˆÙ„Ø© Ù„Ù‡Ø§ Ø¹Ù„Ù… Ø¨Ù†Ø¬Ù…Ø© ÙˆØ§Ø­Ø¯Ø© Ø¹Ù„Ù‰ Ø®Ù„ÙÙŠØ© Ø­Ù…Ø±Ø§Ø¡ØŸ,China,Vietnam,Turkey,Morocco,Vietnam,"Vietnam's flag has a single yellow star on a red background.",Ø¹Ù„Ù… ÙÙŠØªÙ†Ø§Ù… Ù„Ù‡ Ù†Ø¬Ù…Ø© ØµÙØ±Ø§Ø¡ ÙˆØ§Ø­Ø¯Ø© Ø¹Ù„Ù‰ Ø®Ù„ÙÙŠØ© Ø­Ù…Ø±Ø§Ø¡.,vietnam,Southeast Asian country shaped like an S,
guess_flag,guess-flag,medium,Which country has a flag with a maple leaf?,Ø£ÙŠ Ø¯ÙˆÙ„Ø© Ù„Ù‡Ø§ Ø¹Ù„Ù… Ø¨ÙˆØ±Ù‚Ø© Ù‚ÙŠÙ‚Ø¨ØŸ,Canada,USA,UK,Australia,Canada,"Canada's flag features a red maple leaf on a white square with red borders.",Ø¹Ù„Ù… ÙƒÙ†Ø¯Ø§ ÙŠØ­ØªÙˆÙŠ Ø¹Ù„Ù‰ ÙˆØ±Ù‚Ø© Ù‚ÙŠÙ‚Ø¨ Ø­Ù…Ø±Ø§Ø¡ Ø¹Ù„Ù‰ Ù…Ø±Ø¨Ø¹ Ø£Ø¨ÙŠØ¶ Ø¨Ø­Ø¯ÙˆØ¯ Ø­Ù…Ø±Ø§Ø¡.,canada,North American country known for maple syrup,
guess_flag,guess-flag,hard,Which country has the only non-rectangular national flag?,Ø£ÙŠ Ø¯ÙˆÙ„Ø© Ù„Ø¯ÙŠÙ‡Ø§ Ø§Ù„Ø¹Ù„Ù… Ø§Ù„ÙˆØ·Ù†ÙŠ Ø§Ù„ÙˆØ­ÙŠØ¯ ØºÙŠØ± Ø§Ù„Ù…Ø³ØªØ·ÙŠÙ„ØŸ,Switzerland,Nepal,Qatar,Vatican,Nepal,"Nepal's flag is the only national flag that is not rectangular - it has two triangular pennants.",Ø¹Ù„Ù… Ù†ÙŠØ¨Ø§Ù„ Ù‡Ùˆ Ø§Ù„Ø¹Ù„Ù… Ø§Ù„ÙˆØ­ÙŠØ¯ ØºÙŠØ± Ø§Ù„Ù…Ø³ØªØ·ÙŠÙ„ - Ù„Ù‡ Ø±Ø§ÙŠØªØ§Ù† Ù…Ø«Ù„Ø«ØªØ§Ù†.,nepal,Himalayan country with Mount Everest,



